folder,inner_folder,method,R,quartet_score
15-taxon,100gene-1000bp/estimated-genetrees,RD,8,1343
15-taxon,100gene-1000bp/estimated-genetrees,RAND,8,1223
15-taxon,100gene-1000bp/estimated-genetrees,MP,9,1335
15-taxon,100gene-1000bp/estimated-genetrees,MV,9,1335
15-taxon,100gene-1000bp/estimated-genetrees,OG,9,1335
15-taxon,100gene-1000bp/estimated-genetrees,RD,9,1283
15-taxon,100gene-1000bp/estimated-genetrees,RAND,9,1185
15-taxon,100gene-1000bp/estimated-genetrees,MP,10,1365
15-taxon,100gene-1000bp/estimated-genetrees,MV,10,1365
15-taxon,100gene-1000bp/estimated-genetrees,OG,10,1365
15-taxon,100gene-1000bp/estimated-genetrees,RD,10,1323
15-taxon,100gene-1000bp/estimated-genetrees,RAND,10,1325
15-taxon,100gene-true,MP,1,1365
15-taxon,100gene-true,MV,1,1365
15-taxon,100gene-true,OG,1,1365
15-taxon,100gene-true,MP,2,1365
15-taxon,100gene-true,MV,2,1365
15-taxon,100gene-true,OG,2,1365
15-taxon,100gene-true,MP,3,1353
15-taxon,100gene-true,MV,3,1353
15-taxon,100gene-true,OG,3,1365
15-taxon,100gene-true,MP,4,1325
15-taxon,100gene-true,MV,4,1365
15-taxon,100gene-true,OG,4,1365
15-taxon,100gene-true,MP,5,1365
15-taxon,100gene-true,MV,5,1365
15-taxon,100gene-true,OG,5,1365
15-taxon,100gene-true,MP,6,1365
15-taxon,100gene-true,MV,6,1365
15-taxon,100gene-true,OG,6,1365
15-taxon,100gene-true,MP,7,1323
15-taxon,100gene-true,MV,7,1325
15-taxon,100gene-true,OG,7,1365
15-taxon,100gene-true,MP,8,1365
15-taxon,100gene-true,MV,8,1365
15-taxon,100gene-true,OG,8,1365
15-taxon,100gene-true,MP,9,1365
15-taxon,100gene-true,MV,9,1365
15-taxon,100gene-true,OG,9,1365
15-taxon,100gene-true,MP,10,1365
15-taxon,100gene-true,MV,10,1365
15-taxon,100gene-true,OG,10,1365
15-taxon,1000gene-100bp/estimated-genetrees,MP,1,1213
15-taxon,1000gene-100bp/estimated-genetrees,MV,1,1213
15-taxon,1000gene-100bp/estimated-genetrees,OG,1,1213
15-taxon,1000gene-100bp/estimated-genetrees,RD,1,1197
15-taxon,1000gene-100bp/estimated-genetrees,RAND,1,1259
15-taxon,1000gene-100bp/estimated-genetrees,MP,2,1243
15-taxon,1000gene-100bp/estimated-genetrees,MV,2,1243
15-taxon,1000gene-100bp/estimated-genetrees,OG,2,1243
15-taxon,1000gene-100bp/estimated-genetrees,RD,2,1265
15-taxon,1000gene-100bp/estimated-genetrees,RAND,2,1265
15-taxon,1000gene-100bp/estimated-genetrees,MP,3,1261
15-taxon,1000gene-100bp/estimated-genetrees,MV,3,1261
15-taxon,1000gene-100bp/estimated-genetrees,OG,3,1261
15-taxon,1000gene-100bp/estimated-genetrees,RD,3,1265
15-taxon,1000gene-100bp/estimated-genetrees,RAND,3,1219
15-taxon,1000gene-100bp/estimated-genetrees,MP,4,1243
15-taxon,1000gene-100bp/estimated-genetrees,MV,4,1243
15-taxon,1000gene-100bp/estimated-genetrees,OG,4,1243
15-taxon,1000gene-100bp/estimated-genetrees,RD,4,1223
15-taxon,1000gene-100bp/estimated-genetrees,RAND,4,1223
15-taxon,1000gene-100bp/estimated-genetrees,MP,5,1243
15-taxon,1000gene-100bp/estimated-genetrees,MV,5,1243
15-taxon,1000gene-100bp/estimated-genetrees,OG,5,1243
15-taxon,1000gene-100bp/estimated-genetrees,RD,5,1265
15-taxon,1000gene-100bp/estimated-genetrees,RAND,5,1259
15-taxon,1000gene-100bp/estimated-genetrees,MP,6,1241
15-taxon,1000gene-100bp/estimated-genetrees,MV,6,1241
15-taxon,1000gene-100bp/estimated-genetrees,OG,6,1241
15-taxon,1000gene-100bp/estimated-genetrees,RD,6,1265
15-taxon,1000gene-100bp/estimated-genetrees,RAND,6,1301
15-taxon,1000gene-100bp/estimated-genetrees,MP,7,1301
15-taxon,1000gene-100bp/estimated-genetrees,MV,7,1301
15-taxon,1000gene-100bp/estimated-genetrees,OG,7,1301
15-taxon,1000gene-100bp/estimated-genetrees,RD,7,1223
15-taxon,1000gene-100bp/estimated-genetrees,RAND,7,1249
15-taxon,1000gene-100bp/estimated-genetrees,MP,8,1217
15-taxon,1000gene-100bp/estimated-genetrees,MV,8,1217
15-taxon,1000gene-100bp/estimated-genetrees,OG,8,1217
15-taxon,1000gene-100bp/estimated-genetrees,RD,8,1255
15-taxon,1000gene-100bp/estimated-genetrees,RAND,8,1211
15-taxon,1000gene-100bp/estimated-genetrees,MP,9,1225
15-taxon,1000gene-100bp/estimated-genetrees,MV,9,1225
15-taxon,1000gene-100bp/estimated-genetrees,OG,9,1225
15-taxon,1000gene-100bp/estimated-genetrees,RD,9,1265
15-taxon,1000gene-100bp/estimated-genetrees,RAND,9,1223
15-taxon,1000gene-100bp/estimated-genetrees,MP,10,1331
15-taxon,1000gene-100bp/estimated-genetrees,MV,10,1331
15-taxon,1000gene-100bp/estimated-genetrees,OG,10,1331
15-taxon,1000gene-100bp/estimated-genetrees,RD,10,1223
15-taxon,1000gene-100bp/estimated-genetrees,RAND,10,1261
15-taxon,1000gene-1000bp/estimated-genetrees,MP,1,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,1,1365
15-taxon,1000gene-1000bp/estimated-genetrees,OG,1,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,1,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,1,1353
15-taxon,1000gene-1000bp/estimated-genetrees,MP,2,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,2,1365
15-taxon,1000gene-1000bp/estimated-genetrees,OG,2,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,2,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,2,1323
15-taxon,1000gene-1000bp/estimated-genetrees,MP,3,1353
15-taxon,1000gene-1000bp/estimated-genetrees,MV,3,1353
15-taxon,1000gene-1000bp/estimated-genetrees,OG,3,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RD,3,1331
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,3,1311
15-taxon,1000gene-1000bp/estimated-genetrees,MP,4,1353
15-taxon,1000gene-1000bp/estimated-genetrees,MV,4,1353
15-taxon,1000gene-1000bp/estimated-genetrees,OG,4,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RD,4,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,4,1311
15-taxon,1000gene-1000bp/estimated-genetrees,MP,5,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,5,1365
15-taxon,1000gene-1000bp/estimated-genetrees,OG,5,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,5,1263
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,5,1271
15-taxon,1000gene-1000bp/estimated-genetrees,MP,6,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,6,1365
15-taxon,1000gene-1000bp/estimated-genetrees,OG,6,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,6,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,6,1311
15-taxon,1000gene-1000bp/estimated-genetrees,MP,7,1353
15-taxon,1000gene-1000bp/estimated-genetrees,MV,7,1353
15-taxon,1000gene-1000bp/estimated-genetrees,OG,7,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RD,7,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,7,1311
15-taxon,1000gene-1000bp/estimated-genetrees,MP,8,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,8,1365
15-taxon,1000gene-1000bp/estimated-genetrees,OG,8,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,8,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,8,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MP,9,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MV,9,1365
