folder,inner_folder,method,average_diff

37-taxon,noscale.25g.500b,MP,0.507288

37-taxon,noscale.25g.500b,MV,0.494036

37-taxon,noscale.50g.500b,MP,0.876968

37-taxon,noscale.50g.500b,MV,0.880610

37-taxon,noscale.100g.500b,MP,1.720241

37-taxon,noscale.100g.500b,MV,1.846697

37-taxon,noscale.200g.250b,MP,6.417534

37-taxon,noscale.200g.250b,MV,6.356554

37-taxon,noscale.200g.500b,MP,3.333466

37-taxon,noscale.200g.500b,MV,3.295580

37-taxon,noscale.200g.1000b,MP,2.292481

37-taxon,noscale.200g.1000b,MV,2.205648

37-taxon,noscale.200g.1500b,MP,1.957190

37-taxon,noscale.200g.1500b,MV,1.892104

37-taxon,noscale.200g.true,MP,1.951889

37-taxon,noscale.200g.true,MV,1.819594

37-taxon,noscale.400g.500b,MP,7.901104

37-taxon,noscale.400g.500b,MV,7.701232

37-taxon,noscale.800g.500b,MP,24.718555

37-taxon,noscale.800g.500b,MV,21.055316

37-taxon,scale2d.200g.500b,MP,7.236474

37-taxon,scale2d.200g.500b,MV,7.196025

37-taxon,scale2u.200g.500b,MP,1.428593

37-taxon,scale2u.200g.500b,MV,1.520596

